exponent,min_runtime_new,min_runtime_old
1,2.9998773243278265e-07,8.00006091594696e-07
2,6.00004568696022e-07,7.90008925832808e-07
3,9.700015652924776e-07,8.90009687282145e-07
4,9.400100680068135e-07,9.600043995305896e-07
5,1.2700038496404886e-06,1.0299991117790341e-06
6,1.2500095181167126e-06,1.0399962775409222e-06
7,1.5799887478351593e-06,1.1399970389902592e-06
8,1.2800010154023767e-06,1.3099925126880407e-06
9,1.6499980119988322e-06,1.310007064603269e-06
10,1.5600089682266116e-06,1.3999961083754897e-06
11,1.8999999156221747e-06,1.5499972505494952e-06
12,1.5200057532638311e-06,1.6199919627979398e-06
13,1.9500002963468432e-06,1.7099955584853888e-06
14,1.8999999156221747e-06,1.8400023691356182e-06
15,2.2500025806948543e-06,1.8999999156221747e-06
16,1.6599951777607203e-06,1.9999861251562834e-06
17,2.019995008595288e-06,2.120010321959853e-06
18,2.0000006770715117e-06,2.22001108340919e-06
19,2.3699976736679673e-06,2.339991624467075e-06
20,1.9700091797858477e-06,2.419998054392636e-06
21,2.330009010620415e-06,2.5600020308047533e-06
22,2.3000029614195228e-06,2.629996743053198e-06
23,2.6600027922540903e-06,2.749991836026311e-06
24,1.929991412907839e-06,2.829998265951872e-06
25,2.3000029614195228e-06,2.8999929782003164e-06
26,2.2599997464567423e-06,3.039996954612434e-06
27,2.5900080800056458e-06,3.149994881823659e-06
28,2.239990863017738e-06,3.210006980225444e-06
29,2.5699991965666413e-06,3.379987902007997e-06
30,2.5799963623285294e-06,3.440000000409782e-06
31,2.8900103643536568e-06,3.459994331933558e-06
32,1.9800063455477357e-06,3.5199918784201145e-06
33,2.2700114641338587e-06,3.740002284757793e-06
34,2.22999369725585e-06,3.84000304620713e-06
35,2.5500048650428653e-06,3.8199941627681255e-06
36,2.339991624467075e-06,3.9800070226192474e-06
37,2.6699999580159783e-06,4.05999890062958e-06
38,2.5699991965666413e-06,4.050001734867692e-06
39,2.949993358924985e-06,4.2000028770416975e-06
40,2.2400054149329662e-06,4.250003257766366e-06
41,2.629996743053198e-06,4.360001184977591e-06
42,2.5999906938523054e-06,4.469999112188816e-06
43,2.9700022423639894e-06,4.550005542114377e-06
44,2.5400076992809772e-06,4.7100038500502706e-06
45,2.920001861639321e-06,4.740009899251163e-06
46,2.929999027401209e-06,4.870002157986164e-06
47,3.310007741674781e-06,4.88999648950994e-06
48,2.310000127181411e-06,5.080000846646726e-06
49,2.539993147365749e-06,5.139998393133283e-06
50,2.5999906938523054e-06,5.210007657296956e-06
51,2.939996193163097e-06,5.339999916031957e-06
52,2.5699991965666413e-06,5.45999500900507e-06
53,2.959990524686873e-06,5.619993316940963e-06
54,2.949993358924985e-06,5.67000824958086e-06
55,3.2600073609501123e-06,5.680005415342748e-06
56,2.6000052457675338e-06,5.85000088904053e-06
57,2.849992597475648e-06,5.880006938241422e-06
58,2.8999929782003164e-06,5.979993147775531e-06
59,3.249995643272996e-06,6.149988621473312e-06
60,2.929999027401209e-06,6.160000339150429e-06
61,3.420005668886006e-06,6.310001481324434e-06
62,3.320004907436669e-06,6.359987310133874e-06
63,3.720007953234017e-06,6.520000169984996e-06
64,2.3000029614195228e-06,6.589994882233441e-06
65,2.6699999580159783e-06,6.700007361359894e-06
66,2.7000060072168708e-06,6.779999239370227e-06
67,3.039996954612434e-06,6.849993951618671e-06
68,2.710003172978759e-06,6.93999754730612e-06
69,3.0600058380514383e-06,7.0499954745173454e-06
70,3.0700030038133264e-06,7.130001904442906e-06
71,3.339999238960445e-06,7.280003046616912e-06
72,2.6799971237778664e-06,7.360009476542473e-06
73,3.01000545732677e-06,7.140013622120023e-06
74,3.100009053014219e-06,7.490001735277474e-06
75,3.4510012483224273e-06,7.570997695438564e-06
76,3.1600065995007753e-06,7.809998351149261e-06
77,3.569992259144783e-06,7.819995516911149e-06
78,3.4800032153725624e-06,7.890004781074822e-06
79,3.7999998312443495e-06,8.089002221822739e-06
80,2.731001586653292e-06,8.189002983272076e-06
81,3.020002623088658e-06,8.310002158395946e-06
82,3.0400115065276623e-06,8.300004992634058e-06
83,3.4800032153725624e-06,8.671006071381271e-06
84,3.0090013751760125e-06,8.539995178580284e-06
85,3.4090044209733605e-06,8.531002094969153e-06
86,3.520006430335343e-06,9.25900531001389e-06
87,3.7199934013187885e-06,8.839997462928295e-06
88,3.1289964681491256e-06,8.931005140766501e-06
89,3.349006874486804e-06,9.059993317350745e-06
90,3.36900120601058e-06,9.08000220078975e-06
91,3.730994649231434e-06,9.169001714326441e-06
92,3.4489930840209126e-06,9.391005733050406e-06
93,3.959998139180243e-06,9.47000808082521e-06
94,3.7999998312443495e-06,9.648996638134122e-06
95,4.169007297605276e-06,9.77099989540875e-06
96,2.749002305790782e-06,9.830997441895306e-06
97,3.0899973353371024e-06,9.971001418307424e-06
98,3.1289964681491256e-06,1.0068994015455246e-05
99,3.5090051824226975e-06,1.003999204840511e-05
100,3.2500101951882243e-06,1.0579999070614576e-05
101,3.549997927621007e-06,1.0140007361769676e-05
102,3.5909906728193164e-06,1.0100004146806896e-05
103,3.740002284757793e-06,1.0909992852248251e-05
104,3.120003384537995e-06,1.0469986591488123e-05
105,3.579989424906671e-06,1.0809002560563385e-05
106,3.430992364883423e-06,1.0730000212788582e-05
107,3.8800062611699104e-06,1.0920004569925368e-05
108,3.4999975468963385e-06,1.1380005162209272e-05
109,3.9000005926936865e-06,1.1449999874457717e-05
110,3.9099977584555745e-06,1.1380005162209272e-05
111,4.229994374327362e-06,1.1500000255182385e-05
